#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
     1.103         2.23895753249e-18         6.15839184374e-19
   1.10765         5.51150568986e-19         5.22284641291e-19
    1.1123         3.49895055296e-19         4.75741846447e-19
   1.11695         9.01243806493e-19         4.38214413367e-19
    1.1216        -5.66165546599e-20         4.20420392639e-19
   1.12625        -3.95195495796e-19         4.09924569644e-19
    1.1309        -4.80893183609e-19         4.18864033774e-19
   1.13555         -1.1708729671e-19         4.04186699001e-19
    1.1402        -6.48562586996e-19          3.9949314806e-19
   1.14485        -1.48798472951e-19         3.81814610422e-19
    1.1495        -6.00085494169e-20         3.84704537372e-19
   1.15415        -1.16079624545e-19         3.79839413459e-19
    1.1588         1.51061484298e-19         3.82566451407e-19
   1.16345        -4.76710525598e-19         3.66090966463e-19
    1.1681        -2.84466747251e-19         3.59791818131e-19
   1.17275        -3.35648399589e-19          3.5027238546e-19
    1.1774         2.54641559836e-19         3.51863246296e-19
   1.18205         2.16355918448e-19         3.43287878689e-19
    1.1867         1.95000403434e-19         3.41334723412e-19
   1.19135         4.61125542552e-19         3.23469976905e-19
     1.196          7.9681639232e-19          3.2753861792e-19
   1.20065         1.10699180852e-18         3.34809324521e-19
    1.2053         1.44104142695e-18         3.29659061952e-19
   1.20995         1.67926541381e-18         3.18782367214e-19
    1.2146            2.12622119e-18         3.08855326392e-19
   1.21925         2.59089218522e-18         3.30576310438e-19
    1.2239         3.60037008377e-18         3.26453428388e-19
   1.22855         5.05127194333e-18         3.20005933617e-19
    1.2332         5.90196169309e-18         3.13029947215e-19
   1.23785         7.01388255146e-18         3.14667274364e-19
    1.2425         8.97077114792e-18          3.1765313399e-19
   1.24715         1.05403109597e-17         3.28109212886e-19
    1.2518         1.17220237169e-17         3.33187235086e-19
   1.25645         1.35760664726e-17         3.36549107886e-19
    1.2611         1.49876222942e-17         3.39858167934e-19
   1.26575         1.61357773078e-17         3.46518909633e-19
    1.2704         1.58431389446e-17         3.40804143196e-19
   1.27505         1.37235293348e-17         3.26648885504e-19
    1.2797         1.20198429719e-17         3.08885582251e-19
   1.28435         9.76510066891e-18         3.00864490551e-19
