#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         7.43476850131e-19         3.64978413229e-19
    0.9047         1.25606650555e-19         3.78857728889e-19
    0.9071         3.61452177325e-19         3.79784338978e-19
    0.9095         8.70187732573e-19          4.0547939032e-19
    0.9119          1.0395699794e-18         3.47638168957e-19
    0.9143         5.93279541709e-19         3.48882915731e-19
    0.9167         6.83039169547e-19         3.38604051707e-19
    0.9191         9.10841734882e-19         3.67330765727e-19
    0.9215         1.55796565216e-18         3.29240839091e-19
    0.9239         8.72706396618e-19         3.21043128449e-19
    0.9263         3.36889315129e-19         3.21388032264e-19
    0.9287         1.22910387413e-19         3.18990139729e-19
    0.9311        -6.48535265121e-20         3.08001512479e-19
    0.9335         1.36730952952e-19          3.1514285128e-19
    0.9359         5.00613103407e-19         3.12862773457e-19
    0.9383          4.0445587705e-20          3.0601124217e-19
    0.9407        -1.77141834039e-19         3.02906871342e-19
    0.9431         2.19822261724e-19         3.14115002461e-19
    0.9455         7.22651629572e-20         3.13082107416e-19
    0.9479         5.44145350103e-19         3.03950361874e-19
    0.9503         6.90983945546e-19         2.96954738799e-19
    0.9527          8.8341506964e-20         3.11649284964e-19
    0.9551         -2.7862300273e-19         2.97329187818e-19
    0.9575         1.55231576911e-20           2.761185816e-19
    0.9599         -4.0657678606e-20         2.79790303438e-19
    0.9623         1.93086828889e-19         2.85680979188e-19
    0.9647         6.97474737416e-19         2.85484652389e-19
    0.9671         1.02073140937e-18         2.83529985891e-19
    0.9695         8.80004624195e-19         2.77196894687e-19
    0.9719         7.58096366633e-19         2.89574203239e-19
    0.9743         8.14053184972e-19         2.70984930439e-19
    0.9767         6.51059554693e-19         2.73949496791e-19
    0.9791         5.17085798747e-19         2.58916287533e-19
    0.9815         7.27492316183e-19         2.57924300287e-19
    0.9839         1.11217155686e-18          2.4778772471e-19
    0.9863         1.30556639265e-18         2.58456141475e-19
    0.9887         1.79192113947e-18         2.66746587115e-19
    0.9911         2.50128827844e-18          2.5855483694e-19
    0.9935         1.82143761314e-18         2.56580118922e-19
    0.9959         2.23195093704e-18         2.63360953105e-19
    0.9983         1.93623552839e-18          2.5586122428e-19
    1.0007         2.26188596941e-18         2.69276837308e-19
    1.0031         2.40303859418e-18         2.37802565903e-19
    1.0055         2.36636651849e-18         2.35667864431e-19
    1.0079         1.54498989934e-18         2.37073280289e-19
    1.0103         2.99090627348e-18         2.62210611081e-19
    1.0127         3.11335530104e-18         2.43953133173e-19
    1.0151         2.91351004254e-18         2.38095804507e-19
    1.0175         3.12074578909e-18         2.50662050245e-19
    1.0199         3.40279451571e-18          2.5131311864e-19
    1.0223         3.81472148474e-18         2.40296697804e-19
    1.0247         4.17663768742e-18         2.38653480155e-19
    1.0271         4.05724289302e-18         2.52024772084e-19
    1.0295         4.24118836876e-18         2.45866444068e-19
    1.0319         4.76032889645e-18         2.35611087354e-19
    1.0343         5.12066552276e-18         2.37359216625e-19
    1.0367         4.97351249943e-18         2.41107564824e-19
    1.0391         5.49176117794e-18         2.49506061449e-19
    1.0415          5.1378417034e-18          2.3141616003e-19
    1.0439         5.27339160093e-18          2.3059300547e-19
    1.0463         5.76820711928e-18         2.29888695018e-19
    1.0487         5.67031537931e-18         2.46775729944e-19
    1.0511         6.00692314597e-18         2.38194224821e-19
    1.0535         6.65292499297e-18         2.40165787483e-19
    1.0559         6.78476047058e-18         2.39873093501e-19
    1.0583         6.68375117492e-18          2.4036532271e-19
    1.0607         6.63408386214e-18         2.37481743994e-19
    1.0631         6.77392202623e-18         2.36757766384e-19
    1.0655         7.35561803952e-18         2.38837104936e-19
    1.0679         6.80882873806e-18         2.38728695026e-19
    1.0703         6.84421064492e-18           2.360447238e-19
    1.0727         6.64196835571e-18         2.33990035634e-19
    1.0751         6.62644895837e-18         2.29638443471e-19
    1.0775         6.98920228717e-18         2.31060062101e-19
    1.0799          6.9777493701e-18         2.34944071423e-19
    1.0823         6.69385571789e-18         2.36317449253e-19
    1.0847         6.02316242904e-18         2.30723673909e-19
    1.0871         5.22279239667e-18         2.20649318536e-19
    1.0895         4.51087205608e-18          2.1871365927e-19
    1.0919         3.56506550233e-18         2.15742885235e-19
    1.0943         2.33465420291e-18         2.09400699269e-19
    1.0967         1.73579401034e-18          2.0276216322e-19
    1.0991         1.25533207273e-18         2.06928157066e-19
     1.103         1.29949928258e-18         3.95320836639e-19
   1.10765         9.85643281782e-19         3.58571197722e-19
    1.1123         8.17251631623e-19         3.24789585495e-19
   1.11695         7.23732110117e-19         3.10874697285e-19
    1.1216         2.35371150067e-19         2.90809446917e-19
   1.12625         2.87158262576e-19         2.83628576861e-19
    1.1309         4.43696745432e-19         2.79875349352e-19
   1.13555         4.11594262968e-19         2.74841668455e-19
    1.1402         1.12805163075e-19         2.68437154884e-19
   1.14485         2.39096883434e-19         2.64967832716e-19
    1.1495         3.66138862641e-19         2.67128795403e-19
   1.15415         3.96499387793e-19          2.6617009595e-19
    1.1588         7.72446918079e-20         2.69454946156e-19
   1.16345        -4.01853994991e-20         2.56344371361e-19
    1.1681        -1.99239643369e-19         2.56166622129e-19
   1.17275        -2.76177344176e-19         2.50520181991e-19
    1.1774         2.38894231756e-19         2.65707006894e-19
   1.18205         3.11995231409e-19         2.47816815396e-19
    1.1867         4.64082915675e-19          2.4109336461e-19
   1.19135         4.50482381011e-19         2.32267812067e-19
     1.196         8.60087619011e-19         2.38442731976e-19
   1.20065         8.75118403037e-19         2.31710355486e-19
    1.2053         9.82300106438e-19         2.29060907876e-19
   1.20995         1.84723116428e-18         2.22444881329e-19
    1.2146         2.42358392956e-18         2.24087733459e-19
   1.21925         2.78400527771e-18         2.18823758085e-19
    1.2239          2.9558839916e-18         2.23243848709e-19
   1.22855         4.09768778769e-18         2.22639795244e-19
    1.2332         4.51149982622e-18         2.20769907771e-19
   1.23785           5.369741192e-18         2.22607929003e-19
    1.2425         5.86838893932e-18         2.36357101542e-19
   1.24715         6.70358991896e-18         2.32358473695e-19
    1.2518         7.48092987807e-18         2.35261518381e-19
   1.25645         8.20628521456e-18         2.33990124128e-19
    1.2611          8.7804922805e-18         2.35853104451e-19
   1.26575         8.96204130757e-18         2.36548239494e-19
    1.2704         8.87934521854e-18         2.34452331514e-19
   1.27505         8.33412235334e-18         2.34684520833e-19
    1.2797         7.27774434742e-18         2.26856595237e-19
   1.28435         6.28423235608e-18         2.20521980703e-19
     1.289         5.18130241925e-18          2.1188905664e-19
   1.29365         4.37677167245e-18         2.04999910275e-19
    1.2983          3.8735983674e-18         2.00514938475e-19
   1.30295         2.70217846824e-18         2.14566174183e-19
    1.3076         2.31230231831e-18         2.03563799694e-19
   1.31225         1.47538207167e-18         1.95133625444e-19
    1.3169         1.22190492276e-18         1.80524244327e-19
   1.32155         1.20240818683e-18         1.85939978351e-19
    1.3262         6.88036778293e-19         1.77970023028e-19
   1.33085         2.10054661573e-19         1.79041157715e-19
    1.3355         1.20850634083e-19           1.678520603e-19
   1.34015        -8.92435206008e-21         1.70831950568e-19
    1.3448         5.34433664119e-20         1.67609529309e-19
   1.34945         -3.2840354188e-19         1.67403927059e-19
    1.3541         1.08232893178e-19         1.60837141878e-19
   1.35875        -2.32132828425e-20         1.68427855338e-19
    1.3634        -2.40790016816e-19           1.636573839e-19
   1.36805         1.78870880263e-20         1.67899114901e-19
    1.3727         7.00765668369e-20         1.62452672221e-19
   1.37735         2.12100276853e-20         1.70180881028e-19
     1.382        -1.95416350354e-19         1.62646959265e-19
   1.38665        -2.89040713782e-19          1.6451685773e-19
    1.3913         -2.7331593774e-19         1.60064853104e-19
   1.39595        -8.35466224982e-20         1.62896442605e-19
    1.4006        -4.63073334327e-20         1.57569576632e-19
   1.40525         1.31688123381e-19         1.60949043148e-19
    1.4099          1.2910319164e-19         1.64552443127e-19
   1.41455        -9.20776266119e-20         1.58207675753e-19
    1.4192        -1.05135625311e-19         1.56007325915e-19
   1.42385        -8.87594300865e-20         1.56474080897e-19
    1.4285         3.92637636491e-20         1.67935012184e-19
   1.43315        -1.31846055257e-19         1.59920193172e-19
    1.4378         -1.9950197619e-19         1.59128799268e-19
   1.44245         3.28727389372e-20         1.48588581112e-19
    1.4471        -7.22458673528e-20         1.53208726664e-19
   1.45175         2.31258291562e-19         1.51002173722e-19
    1.4564        -9.09736802453e-21         1.53280966933e-19
   1.46105         7.08516500442e-20         1.49211307201e-19
    1.4657         1.53908156236e-20         1.50294120679e-19
   1.47035         1.15414128893e-19         1.56178904868e-19
     1.475         1.93170540689e-19          1.5026309066e-19
   1.47965         2.97684054378e-19         1.51601334267e-19
    1.4843         2.50419449929e-19          1.5166300751e-19
   1.48895          4.5825391634e-19         1.56146263972e-19
    1.4936         2.75261665168e-19         1.53977715812e-19
   1.49825         1.91371840848e-19         1.50018398083e-19
    1.5029         2.29870453262e-19         1.48818673583e-19
   1.50755         5.53670681492e-20         1.53630892178e-19
    1.5122         3.02112760838e-19         1.54515718954e-19
   1.51685         3.96534218034e-19         1.53743256837e-19
    1.5215         7.85502798792e-19         1.49187685099e-19
   1.52615         1.13059840182e-18         1.48586926858e-19
    1.5308         1.03607006227e-18         1.49459205785e-19
   1.53545         1.30167088867e-18          1.5879815323e-19
    1.5401         1.58600494151e-18          1.5882081263e-19
   1.54475         2.03480715373e-18         1.59006520785e-19
    1.5494         2.12374306682e-18         1.57782162512e-19
   1.55405         2.47281793981e-18         1.58752560204e-19
    1.5587         3.05830492355e-18         1.62686526831e-19
   1.56335         3.23188293333e-18         1.64254695306e-19
     1.568         4.12802183221e-18         1.66362244912e-19
   1.57265         4.40534925877e-18         1.66197900943e-19
    1.5773         5.10081999227e-18         1.69182108372e-19
   1.58195         4.97565045405e-18         1.73865666481e-19
    1.5866         4.64863623722e-18         1.69326036939e-19
   1.59125         4.43310400457e-18         1.68026643172e-19
    1.5959         3.76900973118e-18           1.614403629e-19
   1.60055         2.94581034505e-18         1.80702956396e-19
    1.6052         1.88765527125e-18         1.62371678801e-19
   1.60985         1.15945880314e-18         1.61060113865e-19
    1.6145          6.1941510351e-19         1.46362000792e-19
   1.61915         2.79452958222e-19         1.58482677191e-19
    1.6238          3.9160398518e-19         1.57041542763e-19
   1.62845         3.02278151495e-19         1.56140910387e-19
    1.6331         3.27776830929e-19         1.53019707812e-19
   1.63775          4.1884804928e-19         1.53633448023e-19
    1.6424         1.68992117905e-19          1.5161279673e-19
   1.64705         3.31012527491e-19         1.53542518954e-19
    1.6517          2.6860806014e-19         1.58429403786e-19
   1.65635         2.15250692423e-19         1.66849917708e-19
     1.661          3.9583526748e-19         1.72445160553e-19
   1.66565         3.15680802657e-19         1.84731853732e-19
    1.6703          6.0256177915e-20          2.0941195752e-19
   1.67495         2.38163645245e-19         2.63209813214e-19
    1.6796        -9.62725854896e-20         3.16156639318e-19
   1.68425        -4.01179463731e-19          4.0558470156e-19
    1.6889         2.43799006025e-19         5.20353020899e-19
   1.69355        -1.94261412265e-19         6.81238463399e-19
    1.6982        -1.43451589606e-18         8.38859521795e-19
