,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
0,0.067,0.001,3024.2677009,-1.39792635,0.729824,3.53805281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.067,0.00126638017,3023.93138598,-1.4087412,0.72095284,3.54867565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.067,0.00160371874,3023.63942891,-1.42093985,0.71105317,3.56068522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.067,0.00203091762,3023.29133959,-1.4396084,0.69609768,3.57914867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.067,0.00257191381,3023.01289699,-1.47403469,0.66916357,3.61342469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.067,0.00325702066,3024.12682128,-1.5591942,0.60622331,3.69922386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.067,0.00412462638,3027.06919754,-1.70323221,0.51258183,3.84496489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.067,0.00522334507,3030.67966081,-1.82179391,0.44610942,3.96560624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.067,0.00661474064,3025.40587296,-1.92868422,0.39582805,4.06947813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.067,0.0083767764,3016.19670746,-2.02662374,0.35579486,4.16209125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.067,0.0106081836,3008.04610109,-2.11666609,0.3224924,4.24745317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.067,0.0134339933,2999.66639861,-2.20198989,0.29395435,4.32793093,8.87019324,8.2634067,7.71174281,7.39343808,6.96944862,6.99070287,7.19859336,6.96467125,6.77452432,6.65092826,7.07813799,6.95721465
12,0.067,0.0170125428,2990.46175209,-2.28407244,0.26909595,4.40467767,9.0764963,8.46550614,7.91345717,7.59464851,7.1676038,7.19454986,7.39939143,7.16682816,6.97417983,6.85259861,7.27730984,7.15898001
13,0.067,0.0215443469,2980.04979854,-2.36412001,0.24712554,4.47865665,9.27749349,8.66166246,8.109144,7.78993975,7.35963182,7.39300345,7.59450482,7.36335938,7.1679733,7.04855225,7.47054615,7.35505971
14,0.067,0.0272833338,2960.22739663,-2.44769583,0.22746906,4.55064706,9.48652418,8.86265838,8.31097951,7.98992938,7.55352357,7.59522273,7.79338746,7.56301892,7.36279524,7.24578677,7.66645028,7.55409467
15,0.067,0.0345510729,2942.84585863,-2.52711713,0.21005403,4.61982998,9.68525737,9.05381399,8.50253695,8.18030778,7.73862968,7.7889074,7.98322034,7.75408481,7.54950166,7.43498363,7.85345613,7.74452704
